Team,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making Efficiency,3PT Shot Quality,Assisted Shot Making,Assisted Shooting Talent,Assisted Shot Making Efficiency,Assisted Shot Quality,Assisted FG%,Assisted Padded FG%,C&S 3PT Shot Making,C&S 3PT Shooting Talent,C&S 3PT Shot Making Efficiency,C&S 3PT Shot Quality,C&S 3PT FG%,C&S 3PT Padded FG%,Deep 3PT Shot Making,Deep 3PT Shooting Talent,Deep 3PT Shot Creation,Deep 3PT Shot Making Efficiency,Deep 3PT Shot Quality,Deep 3PT FG%,Deep 3PT Padded FG%,Rim Shot Making,Rim Shooting Talent,Rim Shot Creation,Floater Shot Making,Floater Shooting Talent,Floater Shot Creation,Floater Shot Making Efficiency,Floater Shot Quality,Floater FG%,Floater Padded FG%,Halfcourt Shot Making,Halfcourt Shooting Talent,Halfcourt Shot Creation,Halfcourt Shot Making Efficiency,Halfcourt Shot Quality,Halfcourt FG%,Halfcourt Padded FG%,Midrange Shot Making,Midrange Shooting Talent,Midrange Shot Creation,Midrange Shot Making Efficiency,Midrange Shot Quality,Midrange FG%,Midrange Padded FG%,Off Screen Points,Off Screen Possessions,Off Screen 2FGM,Off Screen 2FGA,Off Screen 3FGM,Off Screen 3FGA,Off Screen Turnovers,Off Screen FT Trips,Off Screen SF Drawn,Overall Shot Making,Overall Shooting Talent,Overall Shot Creation,Overall Shot Making Efficiency,Overall Shot Quality,Pullup 3PT Shot Making,Pullup 3PT Shooting Talent,Pullup 3PT Shot Creation,Pullup 3PT Shot Making Efficiency,Pullup 3PT Shot Quality,Pullup 3PT FG%,Pullup 3PT Padded FG%,Self-Created Shot Making,Self-Created Shooting Talent,Self-Created Shot Making Efficiency,Self-Created Shot Quality,Self-Created FG%,Self-Created Padded FG%,Transition Shot Making,Transition Shooting Talent,Transition Shot Creation,Transition Shot Making Efficiency,Transition Shot Quality,Transition FG%,Transition Padded FG%,Handoff PPP,Isolation PPP,PnR Ball Handler PPP,PnR Roll Man PPP,Post Up PPP,Spot Up PPP,Off Screen PPP,Cut PPP,Putback PPP,Transition PPP,Misc PPP,Handoff Defense PPP,Isolation Defense PPP,PnR Ball Handler Defense PPP,PnR Roll Man Defense PPP,Post Up Defense PPP,Spot Up Defense PPP,Off Screen Defense PPP,Handoff Turnover%,Isolation Turnover%,PnR Ball Handler Turnover%,PnR Roll Man Turnover%,Post Up Turnover%,Spot Up Turnover%,Off Screen Turnover%,Cut Turnover%,Putback Turnover%,Transition Turnover%,Misc Turnover%,Handoff Defense Turnover%,Isolation Defense Turnover%,PnR Ball Handler Defense Turnover%,PnR Roll Man Defense Turnover%,Post Up Defense Turnover%,Spot Up Defense Turnover%,Off Screen Defense Turnover%,Age,Height,Weight,Years of Experience,Defensive Positional Versatility,Defensive Role Versatility,% of Minutes in Foul Trouble,Fouls Committed / 75,Fouls Drawn / 75,Matchup Difficulty,Stable Handoff PPP,Stable P&R Ball Handler PPP,Stable Putbacks PPP,Stable Spot Up PPP,Stable Transition PPP,Drives Per 75 Possessions,Rim Shot Attempts Per 75 Possessions,Unassisted Rim Shot Attempts Per 75 Possessions,Percentage of Shots at Rim Contested,Block Rate on Contests,Rim Contests Per 75 Possessions,Rim Deterrence,Rim Points Saved Per 75 Possessions,Rim dFG% vs Expected,Cuts Per 75 Possessions,Movement Attack Rate,Movement Distance Rating,Movement Scoring Impact Per 75 Possessions,Movement Points Per 75 Possessions,Movement Speed Rating,Off-Ball Screen Possessions Per 75 Possessions,Putback Scoring Impact Per 75 Possessions,Putback per Offensive Rebound,Putbacks Per 75 Possessions,Total Isolation Impact Per 75 Possessions,Total Isolations Per 75 Possessions,Defensive Miles Per 75 Possessions,Deflections Per 75 Possessions,Matchup Adjusted Defensive Feet Per Minute,Passing Lane Defense,Pickpocket Rating,BPM LA-RAPM,Clutch WPA,D-BPM LA-RAPM,D-DPM,D-DRIP,D-LEBRON,D-LEBRON Box Impact,DPM,DRIP,Defensive Impact Luck,LEBRON,LEBRON Box Impact,LEBRON Defensive Points Saved,LEBRON Offensive Points Added,LEBRON WAR,Multi-Year LEBRON,O-BPM LA-RAPM,O-DPM,O-DRIP,O-LEBRON,O-LEBRON Box Impact,Offensive Impact Luck,Stable On-Court DRtg,Stable On-Court Net Rating,Stable On-Court ORtg,Total Impact Luck,delta DRIP,Box Creation,High Value Assists Per 75 Possessions,Potential Assists Per 100 Passes,Role-Adjusted Potential Assists Per 100 Passes,Roll Man Poss Per 75 Possessions,Screen Assists Per 75 Possessions,Roll Man Impact Per 75 Possessions
ATL,0.4,-0.45,0.58,0.56,0.54,0.7,0.53,0.44,0.48,0.48,0.49,0.75,0.83,0.17,0.4,0.38,0.32,0.16,-0.51,0.71,0.32,0.35,0.29,0.09,-0.17,-0.46,0.07,0.04,-0.33,-0.08,0.54,0.4,0.4,0.34,0.01,-0.65,0.18,0.8,0.45,0.45,0.11,-0.2,-0.5,0,0.89,0.44,0.43,564,557,100,226,99,234,60,44,40,0.37,0.03,-0.64,0.19,0.83,-0.13,-0.47,-1.05,-0.7,1.17,0.29,0.31,-0.06,-0.38,-0.31,0.76,0.45,0.45,0.22,0.04,-0.56,0,0.6,0.58,0.57,0.96,0.82,0.81,0.99,0.8,1.04,1.01,1.21,1.08,1.11,0.67,0.91,0.86,0.72,0.97,0.83,0.94,0.87,0.13,0.11,0.18,0.06,0.16,0.06,0.11,0.05,0.05,0.15,0.51,0.13,0.12,0.23,0.08,0.16,0.07,0.08,27.75,78.71,219.66,6.6,48.62,43.62,0.57,2.85,3.1,-0.04,0.93,0.82,1.09,1.03,1.13,6.69,4.13,2.21,30.47,0,4.24,0.2,0.05,1.35,1.35,18.34,0,0.14,2.73,-0.03,1.09,0,32,0.56,-0.03,1.11,1.26,0,1.46,0.89,0.56,0.92,,0.55,0.54,,2.5,0.42,1.14,0,-0.07,4.84,0.97,23.18,26.98,4.47,0,0.37,0.6,,2.33,0.55,0.24,104.05,4.6,108.65,0.18,,4.17,3.24,14.56,0.12,1.38,0,0.01
BOS,-0.52,-0.29,-0.57,0.17,-0.16,-0.11,-0.31,0.03,0.45,0.46,-0.34,-0.41,-0.58,0.03,0.34,0.36,-0.18,-0.44,-0.37,-0.81,-0.49,0.2,0.26,-0.09,-0.23,-0.11,-0.11,-0.24,-0.35,-0.45,-0.08,0.35,0.35,-0.1,-0.23,-0.2,-0.25,0.19,0.43,0.43,0.12,-0.02,-0.12,0.04,0.13,0.42,0.42,385,422,105,239,48,144,21,23,21,-0.2,-0.31,-0.18,-0.4,0.2,-0.1,-0.31,-0.62,-0.2,0.13,0.29,0.32,-0.11,-0.26,-0.34,0.2,0.43,0.43,-0.32,-0.41,-0.17,-0.89,0.06,0.52,0.53,0.88,0.83,0.74,1.03,0.84,0.92,0.91,1.24,1.08,1.02,0.55,0.9,0.87,0.76,0.9,0.88,0.96,0.97,0.12,0.08,0.19,0.07,0.09,0.05,0.05,0.06,0.06,0.12,0.54,0.13,0.09,0.19,0.09,0.12,0.06,0.06,24.57,78.13,222.81,4.33,50.54,44.37,1.29,3.5,3.03,-0.22,0.9,0.8,1.09,0.95,1.05,5.1,4.17,2.21,29.6,0,4.21,0.06,-0.21,5.51,1.11,9.36,0,0.06,2.06,0.01,0.69,0,43.98,0.94,0.01,1.1,1.26,0,4.77,0.78,0.52,0.25,,0.17,-0.04,,0.4,0.01,-0.24,0,0.01,1.08,-0.09,2.34,3.12,2.85,0,0.09,-0.19,,0.68,-0.1,0.06,105.34,0.23,105.57,0.07,,3.13,2.83,15.48,1.54,1.5,0,0.06
BRK,-0.38,-0.31,-0.19,-0.23,0.26,0.07,0.26,-0.37,0.47,0.47,0.04,-0.24,0.02,-0.31,0.35,0.36,-0.09,-0.31,-0.42,-0.36,-0.61,0.21,0.27,0.06,-0.06,0.08,1.06,1.1,-0.09,1.23,0.81,0.47,0.47,0.27,0.21,0.13,0.16,-0.26,0.44,0.44,0.44,0.4,0.2,0.4,0.18,0.43,0.43,317,355,92,217,33,83,39,24,24,0.24,0.12,0.1,0.1,-0.34,-0.25,-0.53,-0.66,-0.87,-0.24,0.24,0.31,0.08,0,-0.16,-0.13,0.43,0.43,-0.01,-0.29,-0.28,-0.21,-0.25,0.54,0.55,0.9,0.85,0.75,1.01,0.86,0.97,0.89,1.15,1.07,1.04,0.51,0.95,0.86,0.73,1.02,0.86,0.95,0.96,0.16,0.09,0.19,0.08,0.11,0.06,0.11,0.08,0.05,0.13,0.52,0.1,0.08,0.19,0.08,0.13,0.05,0.06,27.9,79.23,225.13,7.1,47.06,42.69,0.86,3.03,3.17,-0.09,0.91,0.81,1.06,0.98,1.07,6.2,4.26,2.26,31.14,0,4.48,-0.33,-0.19,5.53,1.45,12.32,0,0.03,2.28,-0.13,0.66,0.01,41.53,0.93,-0.02,1.45,1.26,0,-0.14,0.7,0.47,-0.6,,-0.4,-0.49,,-2.13,-0.39,-0.57,0,0,-2.45,-0.63,-18.29,4.73,2.42,0,-0.2,-0.09,,-0.31,-0.24,-0.02,107.42,-2.59,104.83,-0.02,,3,2.66,15.27,-0.4,1.46,0,0
CHA,-0.64,-0.07,-0.72,-0.1,-0.22,-0.44,-0.56,-0.74,0.42,0.43,-0.32,-0.67,-0.74,0.03,0.33,0.35,-0.17,-0.36,-0.4,-0.47,0.09,0.25,0.27,0.04,-0.2,-0.07,-0.03,-0.04,-0.21,-0.2,0.21,0.37,0.37,-0.1,-0.11,0.13,-0.32,-0.53,0.42,0.42,0.06,0.09,0.1,-0.13,-0.07,0.41,0.41,363,452,118,273,27,128,25,30,25,-0.14,-0.21,0.11,-0.38,-0.72,-0.16,-0.35,-0.32,-0.54,0.03,0.3,0.31,0.09,0.04,-0.09,-0.48,0.42,0.43,-0.12,-0.44,-0.24,-0.37,-1.13,0.48,0.52,0.92,0.8,0.8,0.95,0.88,0.88,0.8,1.16,1.06,1.04,0.6,0.87,0.84,0.78,1.03,0.77,1,0.9,0.08,0.07,0.14,0.08,0.06,0.05,0.06,0.05,0.05,0.09,0.5,0.09,0.1,0.15,0.05,0.12,0.04,0.07,26.15,77.92,225.6,6.18,43.97,42.23,0.68,2.96,3.28,-0.07,0.91,0.81,1.07,0.92,1.09,5.55,3.72,1.9,27.24,0,3.76,0.74,0.05,0.23,0.94,6.51,0,0.02,1.74,0.01,0.8,-0.02,38.15,0.77,0,0.95,1.22,0,-5.89,0.62,0.37,-0.28,,0.43,0.17,,2.44,0.48,-0.77,0,-0.04,-0.11,-0.17,16.46,-12.58,2.71,0,-0.71,-0.95,,-2.56,-0.65,-0.23,104.65,-2.6,102.06,-0.27,,2.98,2.5,14.56,-0.01,1.2,0,-0.04
CHI,-0.22,-0.04,-0.11,0.1,0.05,-0.05,-0.08,-0.11,0.45,0.46,0.06,-0.17,0,0.09,0.37,0.37,0.17,0.29,-0.26,0.35,0.38,0.32,0.29,0,-0.07,0.09,0.19,0.25,0.05,0.51,-0.51,0.4,0.4,0.11,0,-0.09,0.02,-0.1,0.43,0.43,0.02,-0.12,-0.13,-0.13,-0.08,0.41,0.41,360,412,92,203,41,154,29,36,33,0.1,-0.05,-0.08,-0.02,-0.2,-0.1,-0.28,-0.31,-0.53,0.41,0.31,0.31,0.12,-0.01,0.09,-0.31,0.43,0.43,0.02,-0.17,-0.15,-0.18,-0.35,0.53,0.54,0.89,0.81,0.83,0.89,0.9,1.03,0.87,1.15,1.06,1.08,0.52,0.79,0.78,0.87,0.85,0.81,0.95,0.87,0.1,0.11,0.16,0.08,0.11,0.05,0.07,0.05,0.05,0.13,0.55,0.1,0.08,0.11,0.05,0.11,0.05,0.04,28.81,79.44,214.52,7.66,46.72,41.67,1.26,2.92,3.39,0.03,0.89,0.84,1.08,1.01,1.11,5.72,4.59,2.43,29.74,0,4.29,0.23,0.23,-0.19,1.46,11.06,0,-0.02,2.34,-0.04,0.75,-0.03,47.21,1.09,-0.04,1.14,1.24,0,-3.72,0.67,0.34,0.46,,0.2,0.41,,0.56,0.18,0.57,0,0.23,2.17,0.49,8.96,20.53,3.95,0,0.27,0.16,,1.61,0.31,0.13,104.53,2.89,107.43,0.36,,2.9,2.81,14.7,-0.63,0.95,0,-0.09
CLE,0.4,0.33,0.46,-0.13,0.21,0.01,0.01,0.69,0.47,0.47,0.23,0.22,0.25,-0.01,0.38,0.37,0.06,0.14,0.04,0.02,0.36,0.3,0.28,0.41,0.28,-0.02,-0.32,-0.35,-0.24,-0.53,-0.18,0.33,0.33,0.5,0.37,0.04,0.34,0.26,0.44,0.44,0.3,0.09,0.04,0.22,-0.32,0.41,0.42,219,254,41,108,40,124,13,9,8,0.59,0.4,0.01,0.41,0.24,0.37,0.33,-0.14,0.62,-0.16,0.35,0.33,0.72,0.54,0.72,-0.07,0.44,0.44,0.46,0.34,-0.26,0.61,0.18,0.59,0.59,0.99,0.92,0.82,1.08,0.88,1.06,0.86,1.18,0.94,1.18,0.53,0.95,0.78,0.76,1.01,0.85,0.98,0.95,0.11,0.09,0.17,0.07,0.12,0.04,0.05,0.08,0.09,0.13,0.54,0.1,0.07,0.19,0.06,0.11,0.05,0.07,27.22,79.65,230.38,7.69,50.8,42.14,1.2,3.2,3.3,-0.02,0.94,0.82,1.07,1.02,1.17,4.98,4.16,2.14,31.6,0,4.56,0.24,-0.03,2.84,1.32,4.49,0,0.02,1.92,-0.21,0.46,-0.12,36.48,0.93,0.14,1.74,1.22,0,-6.12,0.75,0.37,0.7,,-0.01,0.24,,0.01,-0.03,1.18,0,0.11,3.98,0.57,1.18,53.47,4.84,0,0.7,0.95,,3.97,0.6,0.21,106.25,3.86,110.11,0.32,,3.91,3,13.16,-1.95,1.07,0,0.07
DAL,-0.22,0.04,-0.14,-0.01,0.05,-0.07,0.01,0.36,0.47,0.47,-0.15,-0.21,-0.15,-0.02,0.36,0.36,-0.18,-0.42,-0.32,-0.76,-0.16,0.2,0.27,0.01,-0.08,0.07,0.06,-0.04,-0.16,0,-0.04,0.38,0.38,0.17,0.05,0,0.05,0.35,0.44,0.44,0.35,0.16,0,0.4,0.09,0.43,0.43,383,435,148,311,20,88,21,16,12,0.19,0.05,-0.02,0.05,0.37,0.03,-0.1,-0.36,-0.3,-0.12,0.32,0.31,0.26,0.12,0.04,0.47,0.45,0.45,0.1,-0.02,-0.28,0.02,0.31,0.58,0.57,0.91,0.83,0.8,1.17,0.97,1.02,0.88,1.24,1.17,1.12,0.56,0.85,0.82,0.8,0.94,0.78,0.99,0.92,0.12,0.07,0.16,0.06,0.1,0.04,0.05,0.08,0.06,0.11,0.54,0.15,0.11,0.18,0.12,0.15,0.05,0.09,29.97,78.99,216.02,10.31,52.17,44.68,1.21,3.15,3.61,0.09,0.93,0.81,1.1,0.99,1.12,6.68,4.44,2.59,30.86,0,4.33,0.23,-0.02,2.57,0.9,11.52,0,0.02,1.75,-0.12,0.74,0.02,32.83,0.71,-0.04,1.09,1.24,0,2.13,0.72,0.55,0.56,,0.08,0.23,,0.05,-0.08,0.5,0,0.04,2.67,0.56,2.69,22.57,3.71,0,0.48,0.27,,2.63,0.64,0.21,106.22,2.06,108.29,0.25,,3.32,3.16,14.56,0.11,0.96,0,0.16
DEN,-0.13,-0.09,-0.32,-0.36,-0.21,-0.3,-0.6,0.09,0.43,0.44,-0.17,-0.15,-0.4,-0.64,0.33,0.35,0.08,0.08,-0.4,0.14,0.11,0.29,0.28,0.08,0,0.11,-0.1,-0.22,-0.33,-0.37,0.25,0.37,0.37,-0.24,-0.36,-0.03,-0.6,0.14,0.41,0.41,-0.39,-0.48,0.03,-0.79,0.12,0.38,0.4,335,359,84,194,36,105,27,34,26,-0.19,-0.29,-0.02,-0.55,0.17,0.08,-0.03,-0.28,0.1,0.26,0.33,0.32,-0.01,-0.12,-0.3,0.3,0.43,0.43,0.13,0.16,-0.09,-0.14,-0.08,0.55,0.56,0.91,0.83,0.81,0.99,0.77,0.88,0.93,1.12,1.04,1.08,0.44,0.85,0.82,0.81,0.96,0.95,0.99,0.93,0.06,0.1,0.15,0.09,0.13,0.05,0.08,0.07,0.07,0.1,0.56,0.13,0.1,0.17,0.08,0.09,0.04,0.06,26.07,77.81,217.57,5.43,50.05,46.74,2.09,3.53,3.18,-0.13,0.91,0.84,1.06,0.89,1.1,7.13,4.55,2.5,29.54,0,4.06,-0.13,-0.18,4.87,1.17,6.69,0,0,1.78,-0.1,0.47,-0.05,44.67,1.15,-0.02,1.5,1.24,0,2.5,0.88,0.4,-0.11,,-0.33,-0.48,,-1.94,-0.51,-0.55,0,-0.15,-0.38,-0.57,-15.39,25.22,2.9,0,0.23,-0.06,,1.56,-0.06,-0.29,107.58,-2.16,105.42,-0.44,,3.3,3.29,17.66,1.49,1.33,0,0.02
DET,-0.21,0.2,-0.01,-0.2,-0.17,-0.3,-0.31,0.22,0.45,0.45,-0.06,-0.18,0.06,-0.35,0.36,0.37,0.03,-0.01,-0.17,-0.26,-0.51,0.24,0.27,-0.39,-0.36,0.2,-0.09,-0.15,-0.2,-0.03,-0.16,0.36,0.36,-0.27,-0.33,0.03,-0.48,0.17,0.42,0.42,-0.34,-0.48,-0.02,-0.63,-0.07,0.39,0.4,415,491,123,279,40,150,35,31,29,-0.31,-0.37,0.02,-0.55,0.22,0.03,-0.09,-0.24,-0.1,0.34,0.32,0.32,-0.29,-0.31,-0.62,0.39,0.42,0.43,-0.19,-0.3,-0.19,-0.58,0.44,0.53,0.55,0.72,0.76,0.79,1.01,0.78,0.98,0.85,1.13,1.04,1.1,0.48,0.88,0.85,0.78,0.93,0.81,0.99,0.86,0.11,0.07,0.15,0.07,0.12,0.05,0.07,0.07,0.04,0.11,0.55,0.13,0.08,0.2,0.09,0.1,0.06,0.11,25.91,78.92,225.24,6.01,45.86,41.32,1.01,3.06,2.94,-0.15,0.86,0.81,1.1,1,1.14,5.18,4.72,2.75,31.24,0,4.38,-0.49,-0.1,4.36,0.84,8.58,0,-0.09,1.58,-0.04,0.79,-0.05,39.3,1.29,0,0.79,1.25,0,-1.75,0.77,0.4,0.23,,0,-0.43,,0.05,-0.11,-0.35,0,-0.21,1.21,-0.13,1.88,14.03,3.34,0,0.23,0.09,,1.16,-0.02,0.06,106.37,-0.23,106.14,-0.15,,2.64,2.64,14.26,0.06,0.83,0,0.11
GSW,0.84,-0.02,1.37,0.2,0.75,0.81,0.88,0.28,0.5,0.49,0.59,0.46,0.85,0.23,0.4,0.39,0.32,0.48,0.05,1.12,0.44,0.32,0.3,0.23,0.02,-0.39,0.05,-0.01,-0.36,-0.18,0.11,0.37,0.37,0.72,0.45,-0.31,0.77,0.38,0.46,0.46,0.27,0.03,-0.23,0.34,-0.1,0.43,0.42,743,793,169,405,113,282,74,46,43,0.83,0.56,-0.27,0.86,0.43,0.91,0.88,-0.38,2.29,0.61,0.41,0.36,0.42,0.15,0.56,0.34,0.45,0.45,0.57,0.7,-0.05,0.72,0.09,0.59,0.57,0.97,0.9,0.85,0.98,0.79,1.09,0.94,1.27,1.04,1.16,0.45,0.82,0.77,0.74,0.99,0.82,0.92,0.9,0.09,0.1,0.17,0.1,0.16,0.04,0.09,0.06,0.04,0.11,0.59,0.14,0.11,0.17,0.07,0.15,0.06,0.1,26.61,79.04,220.03,6.54,50.68,45.15,1,3.03,2.86,0.02,0.94,0.81,1.04,1.07,1.13,4.27,4.14,1.93,28.92,0,4.08,0.46,0.2,0.62,1.58,18.24,0,0.15,3.36,0.16,1.43,-0.02,52.54,0.89,0.07,1.04,1.24,0,7.59,0.89,0.53,1.68,,0.9,0.93,,3.79,0.67,1.96,0,0.19,7.66,1.64,37.17,53.71,5.83,0,0.77,1.02,,3.88,0.97,0.46,102.22,8.8,111.02,0.65,,4.11,3.48,16.29,0.89,1.03,0,0
