Team,Win Rate ,3PT Shooting Talent,3PT Shot Creation,3PT Shot Making Efficiency,3PT Shot Quality,Assisted Shot Making,Assisted Shooting Talent,Assisted Shot Making Efficiency,Assisted Shot Quality,Assisted FG%,Assisted Padded FG%,C&S 3PT Shot Making,C&S 3PT Shooting Talent,C&S 3PT Shot Making Efficiency,C&S 3PT Shot Quality,C&S 3PT FG%,C&S 3PT Padded FG%,Deep 3PT Shot Making,Deep 3PT Shooting Talent,Deep 3PT Shot Creation,Deep 3PT Shot Making Efficiency,Deep 3PT Shot Quality,Deep 3PT FG%,Deep 3PT Padded FG%,Rim Shot Making,Rim Shooting Talent,Rim Shot Creation,Floater Shot Making,Floater Shooting Talent,Floater Shot Creation,Floater Shot Making Efficiency,Floater Shot Quality,Floater FG%,Floater Padded FG%,Halfcourt Shot Making,Halfcourt Shooting Talent,Halfcourt Shot Creation,Halfcourt Shot Making Efficiency,Halfcourt Shot Quality,Halfcourt FG%,Halfcourt Padded FG%,Midrange Shot Making,Midrange Shooting Talent,Midrange Shot Creation,Midrange Shot Making Efficiency,Midrange Shot Quality,Midrange FG%,Midrange Padded FG%,Off Screen Points,Off Screen Possessions,Off Screen 2FGM,Off Screen 2FGA,Off Screen 3FGM,Off Screen 3FGA,Off Screen Turnovers,Off Screen FT Trips,Off Screen SF Drawn,Overall Shot Making,Overall Shooting Talent,Overall Shot Creation,Overall Shot Making Efficiency,Overall Shot Quality,Pullup 3PT Shot Making,Pullup 3PT Shooting Talent,Pullup 3PT Shot Creation,Pullup 3PT Shot Making Efficiency,Pullup 3PT Shot Quality,Pullup 3PT FG%,Pullup 3PT Padded FG%,Self-Created Shot Making,Self-Created Shooting Talent,Self-Created Shot Making Efficiency,Self-Created Shot Quality,Self-Created FG%,Self-Created Padded FG%,Transition Shot Making,Transition Shooting Talent,Transition Shot Creation,Transition Shot Making Efficiency,Transition Shot Quality,Transition FG%,Transition Padded FG%,Handoff PPP,Isolation PPP,PnR Ball Handler PPP,PnR Roll Man PPP,Post Up PPP,Spot Up PPP,Off Screen PPP,Cut PPP,Putback PPP,Transition PPP,Misc PPP,Handoff Defense PPP,Isolation Defense PPP,PnR Ball Handler Defense PPP,PnR Roll Man Defense PPP,Post Up Defense PPP,Spot Up Defense PPP,Off Screen Defense PPP,Handoff Turnover%,Isolation Turnover%,PnR Ball Handler Turnover%,PnR Roll Man Turnover%,Post Up Turnover%,Spot Up Turnover%,Off Screen Turnover%,Cut Turnover%,Putback Turnover%,Transition Turnover%,Misc Turnover%,Handoff Defense Turnover%,Isolation Defense Turnover%,PnR Ball Handler Defense Turnover%,PnR Roll Man Defense Turnover%,Post Up Defense Turnover%,Spot Up Defense Turnover%,Off Screen Defense Turnover%,Age,Height,Weight,Years of Experience,Defensive Positional Versatility,Defensive Role Versatility,% of Minutes in Foul Trouble,Fouls Committed / 75,Fouls Drawn / 75,Matchup Difficulty,Stable Handoff PPP,Stable P&R Ball Handler PPP,Stable Putbacks PPP,Stable Spot Up PPP,Stable Transition PPP,Drives Per 75 Possessions,Rim Shot Attempts Per 75 Possessions,Unassisted Rim Shot Attempts Per 75 Possessions,Percentage of Shots at Rim Contested,Block Rate on Contests,Rim Contests Per 75 Possessions,Rim Deterrence,Rim Points Saved Per 75 Possessions,Rim dFG% vs Expected,Cuts Per 75 Possessions,Movement Attack Rate,Movement Distance Rating,Movement Scoring Impact Per 75 Possessions,Movement Points Per 75 Possessions,Movement Speed Rating,Off-Ball Screen Possessions Per 75 Possessions,Putback Scoring Impact Per 75 Possessions,Putback per Offensive Rebound,Putbacks Per 75 Possessions,Total Isolation Impact Per 75 Possessions,Total Isolations Per 75 Possessions,Defensive Miles Per 75 Possessions,Deflections Per 75 Possessions,Matchup Adjusted Defensive Feet Per Minute,Passing Lane Defense,Pickpocket Rating,BPM LA-RAPM,Clutch WPA,D-BPM LA-RAPM,D-DPM,D-DRIP,D-LEBRON,D-LEBRON Box Impact,DPM,DRIP,Defensive Impact Luck,LEBRON,LEBRON Box Impact,LEBRON Defensive Points Saved,LEBRON Offensive Points Added,LEBRON WAR,Multi-Year LEBRON,O-BPM LA-RAPM,O-DPM,O-DRIP,O-LEBRON,O-LEBRON Box Impact,Offensive Impact Luck,Stable On-Court DRtg,Stable On-Court Net Rating,Stable On-Court ORtg,Total Impact Luck,delta DRIP,Box Creation,High Value Assists Per 75 Possessions,Potential Assists Per 100 Passes,Role-Adjusted Potential Assists Per 100 Passes,Roll Man Poss Per 75 Possessions,Screen Assists Per 75 Possessions,Roll Man Impact Per 75 Possessions
ATL,0.5,-0.59,0.02,-0.63,0.21,-0.19,-0.45,-0.47,0.42,0.5,0.5,-0.45,-0.84,-0.92,0.45,0.34,0.36,0.13,-0.05,-0.09,-0.05,0.03,0.33,0.33,0.03,-0.1,-0.13,0.43,0.45,0.04,0.23,0.04,0.47,0.47,0,-0.06,0.13,-0.21,-0.03,0.47,0.47,0.36,0.3,-0.03,0.12,0.04,0.46,0.46,421,441,115,234,52,159,27,22,19,0.02,-0.06,0.11,-0.2,-0.01,0.04,-0.14,-0.2,-0.18,0.15,0.35,0.34,0.2,0.12,-0.01,-0.17,0.47,0.47,0.08,-0.02,-0.15,-0.05,0.25,0.59,0.58,0.99,0.96,0.93,1.26,1.01,0.98,0.95,1.35,1.14,1.16,0.61,0.96,0.96,0.91,1.22,0.94,1.01,1.07,0.07,0.1,0.13,0.05,0.08,0.05,0.06,0.06,0.05,0.1,0.55,0.11,0.1,0.15,0.07,0.16,0.07,0.07,24.56,78.3,211.8,4.75,71.16,55.69,1.01,2.79,2.97,-0.04,0.93,0.89,1.11,0.99,1.17,6.94,4,2.35,40.28,9.03,5.94,-0.66,0.04,0.67,0.95,6.77,0,-0.01,1.99,-0.09,0.75,0,46.03,0.95,0,1.24,1.24,1.98,-1.37,2.7,0.36,-0.08,,-0.3,-0.32,-0.8,-1.45,-0.21,0.29,-0.2,0.09,-0.22,-0.04,-14.7,20.77,3.05,0.26,0.22,0.6,0.6,1.24,0.17,0.14,116.57,-0.22,116.35,0.22,-0.36,4.03,2.98,15.61,0.34,0.93,1.58,0.11
BOS,0.695,0.32,0.06,0.23,0.18,0.17,0.17,0.21,0.14,0.47,0.47,0.24,0.53,0.42,0.28,0.39,0.38,0.27,0.27,-0.01,0.32,-0.14,0.36,0.33,0.3,0.17,0.07,0.05,-0.15,-0.29,-0.07,-0.53,0.43,0.43,0.23,0.04,-0.27,0.14,0.3,0.46,0.46,0.09,-0.19,-0.34,0.03,0.14,0.46,0.46,550,533,91,165,105,301,40,33,32,0.24,0.03,-0.27,0.14,0.28,-0.08,-0.06,-0.18,-0.43,-0.04,0.34,0.34,0.19,-0.01,0.07,0.4,0.48,0.48,0.12,-0.05,-0.3,0.06,0.21,0.58,0.59,1.06,0.91,0.96,1.1,1,1.12,1.03,1.32,1.18,1.18,0.56,0.87,0.97,0.91,1.16,1.05,1.03,0.98,0.13,0.1,0.14,0.07,0.11,0.05,0.08,0.07,0.07,0.12,0.56,0.08,0.1,0.11,0.05,0.13,0.05,0.06,27.54,78.65,222.78,7.22,81,59.67,1.64,2.87,2.86,0.16,0.96,0.9,1.13,1.1,1.16,6.85,3.5,2.61,36.24,10.17,5.47,0.5,0.32,-2.29,0.9,10.12,0,0.02,2.14,-0.23,0.92,0.01,46.73,0.68,-0.04,1.27,1.2,1.83,-9.03,2.4,0.37,1.08,,0.68,0.7,-0.23,2.8,0.53,1.61,0.88,0.11,4.95,1.26,23.31,29.1,4.44,1.11,0.4,0.91,1.11,2.15,0.73,0.33,112.74,5.31,118.05,0.44,-0.01,4.43,3.54,16.07,-0.54,0.83,1.34,-0.02
BRK,0.549,0.25,-0.16,0.49,0.19,0.33,0.21,0.43,0.02,0.49,0.49,0.2,0.14,0.39,0.32,0.4,0.38,0.31,0.2,-0.22,0.68,0.55,0.36,0.35,0.09,-0.19,-0.25,0.1,-0.1,-0.41,0.23,-0.61,0.43,0.43,0.55,0.26,-0.24,0.63,-0.1,0.48,0.48,0.55,0.31,-0.18,0.75,-0.36,0.48,0.48,375,355,98,179,50,134,30,20,17,0.59,0.28,-0.25,0.63,-0.11,0.21,0.1,-0.58,0.41,-0.2,0.37,0.35,0.54,0.24,0.73,-0.36,0.49,0.49,0.29,0.15,-0.35,0.33,-0.24,0.56,0.56,1.04,1.07,0.94,1.13,1.02,1.08,1.06,1.25,1.21,1.13,0.6,0.92,0.89,0.91,1.16,0.99,1.04,1,0.11,0.1,0.14,0.09,0.13,0.06,0.08,0.07,0.06,0.11,0.52,0.09,0.08,0.14,0.08,0.11,0.05,0.07,27.25,78.42,215.33,6.24,78.26,57.31,2.77,3.14,2.6,0.2,0.94,0.87,1.12,1.05,1.13,6.59,3.45,2.07,39.85,10.83,5.52,-0.42,0.38,-3.05,0.95,4.31,0,0,1.68,-0.08,0.49,0.04,30.69,0.55,0.06,1.07,1.25,2.09,-4.9,2.82,0.39,-0.03,,0.14,0.09,-0.55,0.33,-0.01,0.09,0.28,0.07,0.56,-0.19,9.73,11.62,3.51,-0.11,-0.16,-0.01,0.83,0.24,-0.18,-0.21,115.32,0.37,115.68,-0.13,0.16,3.09,3.17,14.92,0,0.65,1.42,-0.01
CHA,0.488,-0.59,-0.12,-0.61,-0.27,-0.29,-0.44,-0.6,-0.03,0.46,0.46,-0.32,-0.56,-0.57,-0.36,0.34,0.36,-0.01,-0.21,-0.1,0.07,-0.15,0.31,0.33,-0.12,-0.23,-0.08,-0.16,-0.15,-0.04,-0.61,0.29,0.4,0.4,-0.27,-0.35,-0.02,-0.58,-0.09,0.44,0.44,-0.17,-0.22,-0.07,-0.59,0.02,0.42,0.44,351,431,87,208,43,165,33,33,32,-0.32,-0.38,-0.01,-0.64,-0.02,-0.2,-0.36,-0.41,-0.6,0.16,0.31,0.34,-0.19,-0.25,-0.59,0.04,0.46,0.46,-0.24,-0.29,-0.08,-0.66,0.21,0.55,0.56,1.02,0.9,0.81,1.17,0.94,0.96,0.81,1.3,1.15,1.09,0.5,0.94,1,0.96,1.12,0.94,1.06,1.01,0.12,0.1,0.14,0.07,0.11,0.07,0.08,0.06,0.06,0.11,0.57,0.11,0.08,0.14,0.07,0.12,0.06,0.07,24.7,78.3,207.97,5.21,68.35,54.01,2.35,2.87,2.89,-0.05,0.95,0.82,1.09,0.97,1.11,8.25,4.23,2.48,39.25,10.46,5.75,-0.63,0.3,-2.13,0.96,7.69,0,-0.11,1.94,0.15,0.83,0,54.1,0.94,-0.04,0.7,1.26,2.2,2.58,2.93,0.41,-1.3,,-0.42,-0.11,-0.35,-1.92,-0.17,-0.83,-0.22,0.37,-5.17,-1.1,-13.7,-12.94,1.43,-0.88,-0.88,-0.72,0.13,-3.25,-0.94,-0.44,115.37,-4.58,110.79,-0.07,0.17,3.84,3.5,15.04,-0.92,0.8,1.1,0.03
CHI,0.329,-0.26,-0.34,-0.17,0.57,0.11,-0.29,-0.02,0.13,0.47,0.47,-0.06,-0.22,-0.1,0.76,0.38,0.38,0.22,0.07,-0.41,0.54,0.4,0.36,0.34,0.32,0.22,0.27,0.01,-0.24,-0.27,-0.06,-0.29,0.47,0.47,0.38,0.17,0.04,0.28,-0.17,0.47,0.47,0.51,0.36,0.1,0.46,-0.52,0.45,0.46,208,230,50,113,27,85,18,19,18,0.38,0.18,0.1,0.22,-0.14,-0.03,-0.26,-0.57,-0.27,-0.11,0.32,0.34,0.46,0.29,0.33,-0.1,0.49,0.49,0.15,0.19,0.29,0,-0.08,0.57,0.57,0.92,1.08,0.94,1.11,1.12,1.05,0.9,1.33,1.06,1.16,0.44,0.97,0.81,0.87,1.19,0.94,1.06,0.99,0.12,0.08,0.13,0.09,0.08,0.07,0.08,0.06,0.09,0.1,0.6,0.14,0.12,0.18,0.1,0.12,0.06,0.1,27.53,78.06,213.23,7.84,70.14,54.63,1.85,2.91,2.8,0.28,0.92,0.88,1.11,1.03,1.14,6.17,3.97,2.58,37.08,10.15,5.58,0.09,-0.03,0.18,0.81,4.99,0,0.02,1.41,-0.13,0.39,-0.04,43.23,0.7,0.14,0.99,1.27,2.36,-1.61,3.13,0.42,0.1,,0.6,0.31,-0.52,2.44,0.63,-0.02,0.15,0.19,0.34,0.23,16.02,-10.65,3.38,0.2,-0.51,-0.33,0.67,-2.11,-0.39,0.07,113.59,0.67,114.26,0.26,-0.24,3.59,2.99,15.25,-0.13,1.16,1.32,-0.06
CLE,0.622,0.11,-0.02,0.27,0.06,-0.07,-0.21,-0.34,0.47,0.5,0.5,-0.16,-0.35,-0.29,0.35,0.36,0.37,0.58,0.38,0.08,1.17,-0.12,0.36,0.35,0.37,0.2,-0.21,0.13,0.03,-0.22,-0.02,0.75,0.47,0.47,0.21,0.05,-0.13,0.04,0.2,0.47,0.47,-0.05,-0.16,-0.16,-0.33,0.29,0.45,0.45,328,332,67,127,51,158,24,26,21,0.22,0.03,-0.12,0.04,0.2,0.57,0.48,-0.18,1.15,0.03,0.38,0.36,0.38,0.18,0.36,0.03,0.48,0.48,0.12,-0.06,-0.22,0.03,0.29,0.61,0.59,0.97,0.92,0.98,1.06,0.79,1.02,0.99,1.39,1.17,1.18,0.56,0.9,0.86,0.88,1.22,0.91,1.06,0.9,0.1,0.1,0.13,0.1,0.12,0.06,0.07,0.05,0.07,0.11,0.54,0.14,0.11,0.17,0.06,0.11,0.07,0.06,25.05,77.82,217.26,5.14,71.79,54.08,1.46,2.97,3.18,0.05,0.93,0.89,1.12,0.98,1.18,7.76,4.3,2.38,37.93,9.15,5.61,-0.04,0.38,-2.41,1.48,4.9,0,0.05,2.64,-0.3,0.55,0.02,36.84,0.68,-0.03,1.05,1.27,2.2,-6.83,3,0.35,1.08,,0.91,0.34,-0.19,3.97,0.62,0.61,0.53,-0.04,5.07,0.81,37.18,23.95,4.92,0.82,0.17,0.27,0.71,1.11,0.19,0.14,112.13,4.63,116.75,0.1,0.18,4.55,3.51,15.63,0.57,1.13,1.4,-0.11
DAL,0.463,0.1,-0.26,0.08,0.3,0.09,0.06,0.05,0.14,0.46,0.46,0.08,0.34,0.17,0.29,0.38,0.38,0.01,-0.13,-0.4,0.01,-0.11,0.32,0.33,-0.08,-0.42,-0.49,0.14,-0.13,-0.28,0.35,-0.53,0.49,0.49,0.07,-0.28,-0.67,-0.02,0.41,0.46,0.46,-0.03,-0.36,-0.48,-0.1,-0.02,0.46,0.46,317,273,48,104,57,130,16,29,28,0.05,-0.3,-0.66,-0.06,0.32,-0.01,-0.18,-0.67,0.01,-0.2,0.33,0.34,0,-0.32,-0.1,0.08,0.47,0.47,-0.01,-0.37,-0.56,-0.19,-0.2,0.53,0.55,0.85,1.02,1.03,1.28,1.13,1.09,1.16,1.36,1.21,1.11,0.56,1,0.92,0.94,1.14,0.98,1.06,0.95,0.17,0.07,0.13,0.06,0.1,0.05,0.06,0.05,0.09,0.09,0.52,0.12,0.1,0.13,0.06,0.13,0.06,0.08,27.96,78.32,212.42,7.92,76.08,58.41,2,3.28,3.43,-0.11,0.9,0.89,1.13,1.05,1.12,6.76,3.43,2.13,39.09,8.76,5.98,-0.03,-0.05,0.94,0.69,6.18,0,0.09,1.62,-0.29,0.6,0.03,31.77,0.42,0.27,1.93,1.23,1.84,-8.16,2.45,0.35,-0.21,,-0.42,-0.16,-0.77,-2.2,-0.41,0.52,0.3,0,-0.33,0.34,-16.72,28.82,2.9,0.18,0.21,0.68,1.08,1.86,0.75,0.38,116.45,0.87,117.32,0.38,-0.21,4.58,3.31,14.42,-1.24,0.87,1.31,0.13
DEN,0.646,0.24,-0.14,0.47,0.2,0.24,0.24,0.24,0.49,0.51,0.5,0.19,0.15,0.42,0.34,0.39,0.38,0.1,-0.08,-0.24,0.27,-0.57,0.33,0.33,-0.03,-0.18,-0.33,-0.32,-0.49,-0.3,-0.93,-0.49,0.35,0.35,0.12,-0.11,-0.29,-0.02,0.24,0.47,0.47,-0.19,-0.38,-0.38,-0.55,-0.43,0.41,0.43,369,372,78,158,60,168,28,19,18,0.13,-0.09,-0.28,-0.03,0.32,0.2,0.12,-0.42,0.46,0.11,0.37,0.35,-0.03,-0.22,-0.27,-0.01,0.46,0.46,0.05,0.04,-0.28,-0.06,0.39,0.58,0.57,0.87,0.92,0.83,1.29,1.09,1.06,0.99,1.39,1.16,1.21,0.44,0.98,0.98,0.9,1.21,0.98,1.02,0.99,0.09,0.12,0.17,0.06,0.13,0.06,0.08,0.05,0.05,0.12,0.58,0.12,0.07,0.17,0.06,0.1,0.07,0.08,27.08,78.8,227.11,7.73,71.31,56.98,1.25,2.81,2.94,0.05,0.89,0.83,1.12,1.04,1.19,5.3,4.45,2.44,37.75,10.71,5.74,-0.06,-0.21,2.23,1.52,8.65,0,0.06,2.75,-0.26,0.59,0.05,54.06,0.98,-0.05,0.83,1.22,2.04,-8.65,2.83,0.32,0.45,,0.06,0.28,-0.42,0.17,0.06,0.8,0.42,0.16,2.36,0.4,7.04,33.86,3.9,0.42,0.39,0.52,0.84,2.19,0.33,0.01,114.7,3.3,117.99,0.18,-0.28,5.05,3.79,14.85,-0.71,0.98,1.38,0.13
DET,0.207,-0.38,-0.18,-0.45,0.13,-0.15,-0.45,-0.35,0.08,0.46,0.47,-0.19,-0.36,-0.32,0.11,0.35,0.37,-0.1,-0.35,-0.38,-0.45,-0.15,0.29,0.32,-0.22,-0.37,-0.01,-0.28,-0.39,-0.21,-0.83,-0.37,0.38,0.38,-0.36,-0.44,0,-0.68,-0.12,0.43,0.44,-0.28,-0.32,0,-0.7,-0.17,0.42,0.43,372,352,67,148,59,150,26,32,28,-0.36,-0.45,-0.01,-0.63,-0.09,-0.21,-0.38,-0.41,-0.63,0.22,0.32,0.34,-0.36,-0.4,-0.79,-0.14,0.44,0.45,-0.05,-0.28,-0.27,-0.11,0.22,0.59,0.58,0.82,0.84,0.83,1.17,0.85,1,1.06,1.26,1.15,1.14,0.53,1.04,1.02,0.97,1.19,1.07,1.04,0.9,0.17,0.11,0.15,0.07,0.13,0.06,0.07,0.06,0.06,0.13,0.54,0.08,0.1,0.14,0.06,0.1,0.05,0.1,24.13,78.47,217.55,4.51,75.42,55.9,2.49,3.43,3.27,-0.24,0.91,0.82,1.08,0.99,1.14,7.26,3.77,2.35,40.17,6.89,6.03,-0.38,0.12,-0.6,1.1,4.12,0,0.06,2.01,-0.06,0.54,-0.01,41.76,0.94,-0.08,0.99,1.25,1.96,-2.67,2.62,0.39,-1.75,,-0.73,-0.66,-0.88,-3.35,-0.69,-1.49,-0.95,-0.17,-7.82,-1.48,-25.14,-27.9,0.61,-1.44,-1.03,-0.82,-0.07,-4.47,-0.79,0.04,118.32,-6.28,112.04,-0.13,0.16,3.67,3.2,15.37,-0.51,0.79,1.38,0.01
GSW,0.537,0.83,-0.17,0.97,-0.62,0.6,0.85,0.62,-0.16,0.48,0.48,0.5,0.8,0.82,-0.75,0.39,0.38,0.58,0.91,-0.09,0.93,-0.01,0.37,0.35,-0.03,-0.23,-0.39,-0.34,-0.62,-0.73,-0.73,-0.03,0.38,0.38,0.38,0.11,-0.51,0.31,0.25,0.47,0.46,-0.18,-0.49,-0.65,-0.46,-0.19,0.43,0.44,986,958,108,270,226,559,87,60,57,0.43,0.13,-0.51,0.34,0.2,0.57,0.47,-0.4,1.15,-0.42,0.38,0.36,0.08,-0.19,0.01,0.2,0.47,0.47,0.28,0.13,-0.5,0.29,-0.21,0.56,0.56,1.01,0.9,0.96,1.12,0.84,1.09,1.03,1.33,1.07,1.12,0.45,0.96,0.9,0.88,1.15,0.95,1.05,1.08,0.1,0.13,0.16,0.08,0.18,0.06,0.09,0.06,0.08,0.14,0.59,0.08,0.11,0.14,0.08,0.1,0.05,0.06,27.41,77.57,210.68,7.54,75.49,59.44,2.56,3.13,2.67,0.12,0.94,0.86,1.03,1.07,1.11,5.34,3.07,2.16,36.16,7.64,5.35,0.75,0.23,-1.43,1.64,20.21,0,0.14,3.93,0.05,1.68,-0.07,45.91,0.76,-0.04,0.64,1.19,2.17,-6.39,2.82,0.43,-0.01,,0.39,0.29,-0.27,1.57,0.07,0.74,0.76,-0.07,0.09,0.5,13.21,-6.14,2.9,0.08,-0.4,0.45,1.03,-1.48,0.44,0.62,114.78,1.82,116.6,0.55,-0.04,4.69,3.8,17.06,2.97,0.57,1.62,-0.03
